geo_level,geo_code,name,variable,value
subcounty,,Kakamega East,Female,86784
subcounty,,Kakamega East,Male,80853
subcounty,,Kakamega East,Intersex,4
subcounty,,Kakamega Forest,Female,4
subcounty,,Kakamega Forest,Male,13
subcounty,,Kakamega Forest,Total,17
subcounty,,Kakamega Forest,Intersex,
subcounty,,Kakamega North,Female,122814
subcounty,,Kakamega North,Intersex,5
subcounty,,Kakamega North,Total,238330
subcounty,,Kakamega North,Male,115511
subcounty,,Kakamega South,Total,111743
subcounty,,Kakamega South,Female,58524
subcounty,,Kakamega South,Male,53219
subcounty,,Kakamega South,Intersex,
subcounty,,Kalama,Female,27692
subcounty,,Kalama,Total,54462
subcounty,,Kalama,Male,26764
subcounty,,Kalama,Intersex,6
subcounty,,Kaloleni,Total,193682
subcounty,,Kaloleni,Female,101063
subcounty,,Kaloleni,Male,92614
subcounty,,Kaloleni,Intersex,5
subcounty,,Kamukunji,Female,131599
subcounty,,Kamukunji,Total,268276
subcounty,,Kamukunji,Male,136670
subcounty,,Kamukunji,Intersex,7
subcounty,,Kandara,Intersex,7
subcounty,,Kandara,Female,88393
subcounty,,Kandara,Male,86698
subcounty,,Kandara,Total,175098
subcounty,,Kangema,Male,39582
subcounty,,Kangema,Intersex,3
subcounty,,Kangema,Total,80447
subcounty,,Kangema,Female,40862
subcounty,,Kangundo,Total,97917
subcounty,,Kangundo,Intersex,1
subcounty,,Kangundo,Male,48697
subcounty,,Kangundo,Female,49219
subcounty,,Kapseret,Intersex,4
subcounty,,Kapseret,Total,198499
subcounty,,Kapseret,Male,99650
subcounty,,Kapseret,Female,98845
subcounty,,Kasarani,Total,780656
subcounty,,Kasarani,Male,381234
subcounty,,Kasarani,Female,399385
subcounty,,Kasarani,Intersex,37
subcounty,,Kathiani,Total,111890
subcounty,,Kathiani,Female,56976
subcounty,,Kathiani,Intersex,4
subcounty,,Kathiani,Male,54910
subcounty,,Kathonzweni,Female,40442
subcounty,,Kathonzweni,Total,79780
subcounty,,Kathonzweni,Intersex,3
subcounty,,Kathonzweni,Male,39335
subcounty,,Katulani,Intersex,1
subcounty,,Katulani,Total,47108
subcounty,,Katulani,Female,23957
