geo_level,geo_code,geo_version,name,Age,Total
county,20,,Kirinyaga,75-79,5464
county,20,,Kirinyaga,80-84,4439
county,20,,Kirinyaga,85-89,2526
county,20,,Kirinyaga,90-94,1682
county,20,,Kirinyaga,95-99,844
county,20,,Kirinyaga,100+,605
county,20,,Kirinyaga,Not Stated,9
county,45,,Kisii,0-4,143507
county,45,,Kisii,5-9,171950
county,45,,Kisii,10-14,195386
county,45,,Kisii,15-19,150167
county,45,,Kisii,20-24,102526
county,45,,Kisii,25-29,91072
county,45,,Kisii,30-34,93680
county,45,,Kisii,35-39,60737
county,45,,Kisii,40-44,53618
county,45,,Kisii,45-49,47900
county,45,,Kisii,50-54,29508
county,45,,Kisii,55-59,38615
county,45,,Kisii,60-64,30711
county,45,,Kisii,65-69,21529
county,45,,Kisii,70-74,15544
county,45,,Kisii,75-79,7877
county,45,,Kisii,80-84,6141
county,45,,Kisii,85-89,3694
county,45,,Kisii,90-94,1489
county,45,,Kisii,95-99,758
county,45,,Kisii,100+,391
county,45,,Kisii,Not Stated,22
county,42,,Kisumu,0-4,141070
county,42,,Kisumu,5-9,147665
county,42,,Kisumu,10-14,164523
county,42,,Kisumu,15-19,134904
county,42,,Kisumu,20-24,113040
county,42,,Kisumu,25-29,96786
county,42,,Kisumu,30-34,90298
county,42,,Kisumu,35-39,62783
county,42,,Kisumu,40-44,51143
county,42,,Kisumu,45-49,34414
county,42,,Kisumu,50-54,27481
county,42,,Kisumu,55-59,25132
county,42,,Kisumu,60-64,21696
county,42,,Kisumu,65-69,16567
county,42,,Kisumu,70-74,12768
county,42,,Kisumu,75-79,6651
county,42,,Kisumu,80-84,4732
county,42,,Kisumu,85-89,2490
county,42,,Kisumu,90-94,876
county,42,,Kisumu,95-99,369
county,42,,Kisumu,100+,136
county,42,,Kisumu,Not Stated,27
county,15,,Kitui,0-4,126190
county,15,,Kitui,5-9,144472
county,15,,Kitui,10-14,173446
county,15,,Kitui,15-19,151148
county,15,,Kitui,20-24,88720
county,15,,Kitui,25-29,67509
county,15,,Kitui,30-34,68691
county,15,,Kitui,35-39,56678
county,15,,Kitui,40-44,51344
county,15,,Kitui,45-49,47652
county,15,,Kitui,50-54,33819
county,15,,Kitui,55-59,29704
county,15,,Kitui,60-64,25004
county,15,,Kitui,65-69,22627
county,15,,Kitui,70-74,19456
county,15,,Kitui,75-79,10519
county,15,,Kitui,80-84,8916
county,15,,Kitui,85-89,4480
county,15,,Kitui,90-94,3578
county,15,,Kitui,95-99,1438
county,15,,Kitui,100+,753
county,15,,Kitui,Not Stated,10
county,2,,Kwale,0-4,130290
county,2,,Kwale,5-9,131742
county,2,,Kwale,10-14,125289
county,2,,Kwale,15-19,97104
county,2,,Kwale,20-24,71795
county,2,,Kwale,25-29,62690
county,2,,Kwale,30-34,55453
county,2,,Kwale,35-39,39814
county,2,,Kwale,40-44,37815
county,2,,Kwale,45-49,28533
county,2,,Kwale,50-54,19501
county,2,,Kwale,55-59,16764
county,2,,Kwale,60-64,16965
county,2,,Kwale,65-69,12853
county,2,,Kwale,70-74,9437
county,2,,Kwale,75-79,4616
county,2,,Kwale,80-84,3260
county,2,,Kwale,85-89,1604
county,2,,Kwale,90-94,700
county,2,,Kwale,95-99,306
county,2,,Kwale,100+,259
county,31,,Laikipia,0-4,65541
county,31,,Laikipia,5-9,64244
county,31,,Laikipia,10-14,65297
county,31,,Laikipia,15-19,56460
county,31,,Laikipia,20-24,43570
county,31,,Laikipia,25-29,37273
county,31,,Laikipia,30-34,37227
county,31,,Laikipia,35-39,30620
county,31,,Laikipia,40-44,26752
county,31,,Laikipia,45-49,22239
county,31,,Laikipia,50-54,18260
county,31,,Laikipia,55-59,15252
county,31,,Laikipia,60-64,10567
county,31,,Laikipia,65-69,8564
county,31,,Laikipia,70-74,7237
county,31,,Laikipia,75-79,4242
county,31,,Laikipia,80-84,2583
county,31,,Laikipia,85-89,1381
county,31,,Laikipia,90-94,667
county,31,,Laikipia,95-99,350
county,31,,Laikipia,100+,211
county,31,,Laikipia,Not Stated,5
county,5,,Lamu,0-4,18738
county,5,,Lamu,5-9,18746
county,5,,Lamu,10-14,18473
county,5,,Lamu,15-19,15152
county,5,,Lamu,20-24,13170
county,5,,Lamu,25-29,11636
county,5,,Lamu,30-34,10556
county,5,,Lamu,35-39,7861
county,5,,Lamu,40-44,7086
county,5,,Lamu,45-49,5870
county,5,,Lamu,50-54,4173
county,5,,Lamu,55-59,3768
county,5,,Lamu,60-64,2978
county,5,,Lamu,65-69,2197
county,5,,Lamu,70-74,1738
county,5,,Lamu,75-79,800
county,5,,Lamu,80-84,517
county,5,,Lamu,85-89,226
county,5,,Lamu,90-94,125
county,5,,Lamu,95-99,53
county,5,,Lamu,100+,49
county,5,,Lamu,Not Stated,4
county,16,,Machakos,0-4,146858
county,16,,Machakos,5-9,150560
county,16,,Machakos,10-14,166215
county,16,,Machakos,15-19,147120
county,16,,Machakos,20-24,131191
county,16,,Machakos,25-29,116987
county,16,,Machakos,30-34,114175
county,16,,Machakos,35-39,95837
county,16,,Machakos,40-44,81711
county,16,,Machakos,45-49,64890
county,16,,Machakos,50-54,47506
county,16,,Machakos,55-59,42586
county,16,,Machakos,60-64,36726
county,16,,Machakos,65-69,28081
county,16,,Machakos,70-74,19972
county,16,,Machakos,75-79,11081
county,16,,Machakos,80-84,8936
county,16,,Machakos,85-89,5066
county,16,,Machakos,90-94,3685
county,16,,Machakos,95-99,1772
county,16,,Machakos,100+,925
county,16,,Machakos,Not Stated,18
county,17,,Makueni,0-4,96425
county,17,,Makueni,5-9,111402
county,17,,Makueni,10-14,136393
county,17,,Makueni,15-19,122859
county,17,,Makueni,20-24,79775
county,17,,Makueni,25-29,65884
county,17,,Makueni,30-34,66259
county,17,,Makueni,35-39,56527
county,17,,Makueni,40-44,49928
county,17,,Makueni,45-49,46855
county,17,,Makueni,50-54,32560
county,17,,Makueni,55-59,29243
county,17,,Makueni,60-64,26824
county,17,,Makueni,65-69,22999
county,17,,Makueni,70-74,17029
county,17,,Makueni,75-79,9371
county,17,,Makueni,80-84,7407
county,17,,Makueni,85-89,4165
county,17,,Makueni,90-94,3408
county,17,,Makueni,95-99,1459
county,17,,Makueni,100+,853
county,17,,Makueni,Not Stated,8
county,9,,Mandera,0-4,161091
county,9,,Mandera,5-9,165159
county,9,,Mandera,10-14,149473
county,9,,Mandera,15-19,108344
county,9,,Mandera,20-24,72683
county,9,,Mandera,25-29,54909
county,9,,Mandera,30-34,44808
county,9,,Mandera,35-39,28922
county,9,,Mandera,40-44,26932
county,9,,Mandera,45-49,14743
county,9,,Mandera,50-54,12494
county,9,,Mandera,55-59,7402
county,9,,Mandera,60-64,7842
county,9,,Mandera,65-69,3792
county,9,,Mandera,70-74,4035
county,9,,Mandera,75-79,1574
county,9,,Mandera,80-84,1928
county,9,,Mandera,85-89,592
county,9,,Mandera,90-94,519
county,9,,Mandera,95-99,101
county,9,,Mandera,100+,74
county,9,,Mandera,Not Stated,3
county,10,,Marsabit,0-4,69160
county,10,,Marsabit,5-9,75216
county,10,,Marsabit,10-14,71431
county,10,,Marsabit,15-19,57199
county,10,,Marsabit,20-24,42954
county,10,,Marsabit,25-29,34711
county,10,,Marsabit,30-34,27856
county,10,,Marsabit,35-39,17429
county,10,,Marsabit,40-44,15515
county,10,,Marsabit,45-49,11175
county,10,,Marsabit,50-54,9731
county,10,,Marsabit,55-59,6893
county,10,,Marsabit,60-64,6604
county,10,,Marsabit,65-69,4013
county,10,,Marsabit,70-74,4616
county,10,,Marsabit,75-79,1743
county,10,,Marsabit,80-84,1920
county,10,,Marsabit,85-89,685
county,10,,Marsabit,90-94,582
county,10,,Marsabit,95-99,164
county,10,,Marsabit,100+,164
county,10,,Marsabit,Not Stated,6
county,12,,Meru,0-4,170262
county,12,,Meru,5-9,175050
county,12,,Meru,10-14,194922
county,12,,Meru,15-19,165251
county,12,,Meru,20-24,132110
county,12,,Meru,25-29,112830
county,12,,Meru,30-34,117510
county,12,,Meru,35-39,103956
county,12,,Meru,40-44,86046
county,12,,Meru,45-49,70961
county,12,,Meru,50-54,48109
county,12,,Meru,55-59,45991
county,12,,Meru,60-64,35938
county,12,,Meru,65-69,29440
county,12,,Meru,70-74,24639
county,12,,Meru,75-79,12007
county,12,,Meru,80-84,9983
county,12,,Meru,85-89,5288
county,12,,Meru,90-94,2827
county,12,,Meru,95-99,1444
county,12,,Meru,100+,1079
county,12,,Meru,Not Stated,30
county,44,,Migori,0-4,161426
county,44,,Migori,5-9,171722
county,44,,Migori,10-14,179630
county,44,,Migori,15-19,134678
county,44,,Migori,20-24,100838
county,44,,Migori,25-29,79837
county,44,,Migori,30-34,72576
county,44,,Migori,35-39,47380
county,44,,Migori,40-44,40686
