geo_level,geo_code,name,variable,total
subcounty,,Naivasha,Naivasha,355383
subcounty,,Nakuru East,Nakuru East,193926
subcounty,,Nakuru North,Nakuru North,218050
subcounty,,Nakuru West,Nakuru West,198661
subcounty,,Nambale,Nambale,111636
subcounty,,Nandi Central,Nandi Central,147553
subcounty,,Nandi East,Nandi East,119173
subcounty,,Nandi North,Nandi North,166171
subcounty,,Nandi South,Nandi South,172750
subcounty,,Narok East,Narok East,115323
subcounty,,Narok North,Narok North,251862
subcounty,,Narok South,Narok South,238472
subcounty,,Narok West,Narok West,195287
subcounty,,Navakholo,Navakholo,153977
subcounty,,Ndhiwa,Ndhiwa,218136
subcounty,,Njiru,Njiru,626482
subcounty,,Njoro,Njoro,238773
subcounty,,North Horr,North Horr,71447
subcounty,,Nyahururu,Nyahururu,154704
subcounty,,Nyakach,Nyakach,150320
subcounty,,Nyali,Nyali,216577
subcounty,,Nyamache,Nyamache,130898
subcounty,,Nyamira North,Nyamira North,167267
subcounty,,Nyamira South,Nyamira South,159073
subcounty,,Nyandarua Central,Nyandarua Central,75262
subcounty,,Nyandarua North,Nyandarua North,98698
subcounty,,Nyandarua South,Nyandarua South,93870
subcounty,,Nyandarua West,Nyandarua West,97965
subcounty,,Nyando,Nyando,161508
subcounty,,Nyatike,Nyatike,176162
subcounty,,Nyeri Central,Nyeri Central,140338
subcounty,,Nyeri South,Nyeri South,91081
subcounty,,Nzambani,Nzambani,46788
subcounty,,Nzaui,Nzaui,126701
subcounty,,Pokot Central,Pokot Central,119016
subcounty,,Pokot North,Pokot North,134485
subcounty,,Pokot South,Pokot South,80661
subcounty,,Rabai,Rabai,120813
subcounty,,Rachuonyo East,Rachuonyo East,121822
subcounty,,Rachuonyo North,Rachuonyo North,178686
subcounty,,Rachuonyo South,Rachuonyo South,130814
subcounty,,Rangwe,Rangwe,117732
subcounty,,Rarieda,Rarieda,152570
subcounty,,Rongai,Rongai,199906
subcounty,,Rongo,Rongo,124587
subcounty,,Ruiru,Ruiru,371111
subcounty,,Sabatia,Sabatia,131628
subcounty,,Samburu Central,Samburu Central,164942
subcounty,,Samburu East,Samburu East,77994
subcounty,,Samburu North,Samburu North,67391
subcounty,,Samburu-Kwale,Samburu-Kwale,202235
subcounty,,Sameta,Sameta,66997
subcounty,,Samia,Samia,107176
subcounty,,Seme,Seme,121667
subcounty,,Siaya,Siaya,224343
subcounty,,Soin Sigowet,Soin Sigowet,126500
subcounty,,Sololo,Sololo,44822
subcounty,,Sotik,Sotik,227855
subcounty,,Soy,Soy,229094
subcounty,,Starehe,Starehe,210423
subcounty,,Suba North,Suba North,124938
subcounty,,Suba South,Suba South,122383
subcounty,,Subukia,Subukia,85164
subcounty,,Suna East,Suna East,122674
subcounty,,Suna West,Suna West,128890
subcounty,,Taita Taveta,Taita Taveta,55959
subcounty,,Tana Delta,Tana Delta,116757
subcounty,,Tana North,Tana North,110640
subcounty,,Tarbaj,Tarbaj,57232
subcounty,,Taita Taveta,Taita Taveta,91222
subcounty,,Teso North,Teso North,138034
subcounty,,Teso South,Teso South,168116
subcounty,,Tetu,Tetu,80453
subcounty,,Thagicu,Thagicu,15136
subcounty,,Tharaka North,Tharaka North,58345
subcounty,,Tharaka South,Tharaka South,75250
subcounty,,Thika East,Thika East,38956
subcounty,,Thika West,Thika West,245820
subcounty,,Tiaty East,Tiaty East,73424
subcounty,,Tigania Central,Tigania Central,104730
subcounty,,Tigania East,Tigania East,72549
subcounty,,Tigania West,Tigania West,139961
subcounty,,Tinderet,Tinderet,115931
subcounty,,Tongaren,Tongaren,100343
subcounty,,Trans Mara East,Trans Mara East,111183
subcounty,,Trans Mara West,Trans Mara West,245714
subcounty,,Trans Nzoia East,Trans Nzoia East,229538
subcounty,,Trans Nzoia West,Trans Nzoia West,202377
subcounty,,Tseikuru,Tseikuru,40871
subcounty,,Turbo,Turbo,267273
subcounty,,Turkana Central,Turkana Central,185305
subcounty,,Turkana East,Turkana East,138526
subcounty,,Turkana North,Turkana North,65218
subcounty,,Turkana South,Turkana South,153736
subcounty,,Turkana West,Turkana West,239627
subcounty,,Ugenya,Ugenya,134354
subcounty,,Ugunja,Ugunja,104241
subcounty,,Uriri,Uriri,141448
subcounty,,Vihiga,Vihiga,95292
subcounty,,Voi,Voi,111831
subcounty,,Wajir East,Wajir East,110654
subcounty,,Wajir North,Wajir North,62206
subcounty,,Wajir South,Wajir South,116814
subcounty,,Wajir West,Wajir West,121828
subcounty,,Webuye West,Webuye West,152515
subcounty,,West Pokot,West Pokot,184446
subcounty,,Westlands,Westlands,308854
subcounty,,Yatta,Yatta,172583
