geo_level,geo_code,name,population_sex_2019,total
subcounty,,Lagdera,Intersex,1
subcounty,,Laikipia Central,Intersex,1
subcounty,,Laikipia East,Intersex,5
subcounty,,Laikipia North,Intersex,1
subcounty,,Laikipia West,Intersex,3
subcounty,,Lamu East,Intersex,
subcounty,,Lamu West,Intersex,4
subcounty,,Lang'ata,Intersex,17
subcounty,,Lari,Intersex,4
subcounty,,Likoni,Intersex,4
subcounty,,Likuyani,Intersex,4
subcounty,,Limuru,Intersex,
subcounty,,Loima,Intersex,1
subcounty,,Loitokitok,Intersex,8
subcounty,,Loiyangalani,Intersex,3
subcounty,,Londiani,Intersex,10
subcounty,,Lower Yatta,Intersex,
subcounty,,Luanda,Intersex,4
subcounty,,Lugari,Intersex,
subcounty,,Lungalunga,Intersex,4
subcounty,,Maara,Intersex,
subcounty,,Machakos,Intersex,6
subcounty,,Magarini,Intersex,
subcounty,,Makadara,Intersex,10
subcounty,,Makindu,Intersex,
subcounty,,Makueni,Intersex,2
subcounty,,Malindi,Intersex,9
subcounty,,Mandera Central,Intersex,5
subcounty,,Mandera East,Intersex,5
subcounty,,Mandera North,Intersex,7
subcounty,,Mandera West,Intersex,4
subcounty,,Manga,Intersex,2
subcounty,,Marakwet East,Intersex,2
subcounty,,Marakwet West,Intersex,5
subcounty,,Marani,Intersex,2
subcounty,,Marigat,Intersex,3
subcounty,,Mars abit Central,Intersex,11
subcounty,,Marsabit North,Intersex,1
subcounty,,Marsabit South,Intersex,
subcounty,,Mas aba South,Intersex,5
subcounty,,Mas huuru,Intersex,1
subcounty,,Masaba North,Intersex,2
subcounty,,Masinga,Intersex,2
subcounty,,Matete,Intersex,
subcounty,,Mathare,Intersex,14
subcounty,,Mathioya,Intersex,1
subcounty,,Mathira East,Intersex,3
subcounty,,Mathira West,Intersex,3
subcounty,,Matinyani,Intersex,1
subcounty,,Matuga,Intersex,2
subcounty,,Matungu,Intersex,4
subcounty,,Matungulu,Intersex,5
subcounty,,Mau Forest,Intersex,
subcounty,,Mbeere North,Intersex,4
subcounty,,Mbeere South,Intersex,6
subcounty,,Mbooni East,Intersex,3
subcounty,,Mbooni West,Intersex,1
subcounty,,Merti,Intersex,3
subcounty,,Meru Central,Intersex,4
subcounty,,Meru National Park,Intersex,
subcounty,,Meru South,Intersex,2
subcounty,,Migwani,Intersex,4
subcounty,,Mirangine,Intersex,1
subcounty,,Mogotio,Intersex,2
subcounty,,Moiben,Intersex,2
subcounty,,Molo,Intersex,5
subcounty,,Moyale,Intersex,1
subcounty,,Msambweni,Intersex,4
subcounty,,Mt Elgon,Intersex,3
subcounty,,Mt Elgon Forest,Intersex,
subcounty,,Mt Kenya Forest,Intersex,0
subcounty,,Muhoroni,Intersex,1
subcounty,,Mukaa,Intersex,
subcounty,,Mukurwe-ini,Intersex,6
subcounty,,Mum oni,Intersex,
subcounty,,Mumias East,Intersex,3
subcounty,,Mumias West,Intersex,1
subcounty,,Murang'a East,Intersex,1
subcounty,,Murang'a South,Intersex,5
subcounty,,Mutitu,Intersex,3
subcounty,,Mutitu North,Intersex,1
subcounty,,Mutomo,Intersex,6
subcounty,,Mvita,Intersex,5
subcounty,,Mwala,Intersex,3
subcounty,,Mwatate,Intersex,2
subcounty,,Mwea East,Intersex,8
subcounty,,Mwea West,Intersex,6
subcounty,,Mwingi Central,Intersex,
subcounty,,Mwingi East,Intersex,5
subcounty,,Naivasha,Intersex,29
subcounty,,Nakuru East,Intersex,10
subcounty,,Nakuru North,Intersex,15
subcounty,,Nakuru West,Intersex,10
subcounty,,Nambale,Intersex,4
subcounty,,Nandi Central,Intersex,7
subcounty,,Nandi East,Intersex,3
subcounty,,Nandi North,Intersex,3
subcounty,,Nandi South,Intersex,3
subcounty,,Narok East,Intersex,7
subcounty,,Narok North,Intersex,9
subcounty,,Narok South,Intersex,2
subcounty,,Narok West,Intersex,4
subcounty,,Navakholo,Intersex,7
subcounty,,Ndhiwa,Intersex,8
subcounty,,Njiru,Intersex,31
subcounty,,Njoro,Intersex,4
subcounty,,North Horr,Intersex,2
subcounty,,Nyahururu,Intersex,8
subcounty,,Nyakach,Intersex,1
subcounty,,Nyali,Intersex,12
subcounty,,Nyamache,Intersex,3
subcounty,,Nyamira North,Intersex,6
subcounty,,Nyamira South,Intersex,3
subcounty,,Nyandarua Central,Intersex,2
subcounty,,Nyandarua North,Intersex,2
subcounty,,Nyandarua South,Intersex,5
subcounty,,Nyandarua West,Intersex,4
subcounty,,Nyando,Intersex,7
subcounty,,Nyatike,Intersex,9
subcounty,,Nyeri Central,Intersex,3
subcounty,,Nyeri South,Intersex,2
subcounty,,Nzambani,Intersex,2
subcounty,,Nzaui,Intersex,4
subcounty,,Pokot Central,Intersex,3
subcounty,,Pokot North,Intersex,3
subcounty,,Pokot South,Intersex,2
subcounty,,Rabai,Intersex,
subcounty,,Rachuonyo East,Intersex,2
subcounty,,Rachuonyo North,Intersex,4
subcounty,,Rachuonyo South,Intersex,
subcounty,,Rangwe,Intersex,3
subcounty,,Rarieda,Intersex,2
subcounty,,Rongai,Intersex,8
subcounty,,Rongo,Intersex,1
subcounty,,Ruiru,Intersex,20
subcounty,,Sabatia,Intersex,1
subcounty,,Samburu Central,Intersex,2
subcounty,,Samburu East,Intersex,1
subcounty,,Samburu North,Intersex,4
subcounty,,Samburu-Kwale,Intersex,7
subcounty,,Sameta,Intersex,4
subcounty,,Samia,Intersex,14
subcounty,,Seme,Intersex,2
subcounty,,Siaya,Intersex,4
subcounty,,Soin Sigowet,Intersex,2
subcounty,,Sololo,Intersex,
subcounty,,Sotik,Intersex,4
subcounty,,Soy,Intersex,5
subcounty,,Starehe,Intersex,12
subcounty,,Suba North,Intersex,2
subcounty,,Suba South,Intersex,2
subcounty,,Subukia,Intersex,1
subcounty,,Suna East,Intersex,3
subcounty,,Suna West,Intersex,1
subcounty,,Taita Taveta,Intersex,
subcounty,,Tana Delta,Intersex,2
subcounty,,Tana North,Intersex,
subcounty,,Tarbaj,Intersex,5
subcounty,,Taita Taveta,Intersex,
subcounty,,Teso North,Intersex,3
subcounty,,Teso South,Intersex,2
subcounty,,Tetu,Intersex,5
subcounty,,Thagicu,Intersex,1
subcounty,,Tharaka North,Intersex,2
subcounty,,Tharaka South,Intersex,2
subcounty,,Thika East,Intersex,4
subcounty,,Thika West,Intersex,18
subcounty,,Tiaty East,Intersex,
subcounty,,Tigania Central,Intersex,
subcounty,,Tigania East,Intersex,3
subcounty,,Tigania West,Intersex,5
subcounty,,Tinderet,Intersex,2
subcounty,,Tongaren,Intersex,1
subcounty,,Trans Mara East,Intersex,1
subcounty,,Trans Mara West,Intersex,3
subcounty,,Trans Nzoia East,Intersex,11
subcounty,,Trans Nzoia West,Intersex,5
subcounty,,Tseikuru,Intersex,
subcounty,,Turbo,Intersex,12
subcounty,,Turkana Central,Intersex,
subcounty,,Turkana East,Intersex,12
subcounty,,Turkana North,Intersex,
